Test_Number,Rank,Unix_Start_Time,Local_Start_Time,UTC_Start_Time,Characters,Seconds,CPS,WPM,Mistake_Free_Test,Backspaces as % of Verse Length,Incorrect Characters as % of Verse Length,Book,Chapter,Verse #,Verse,Verse_Order,Autostart,% of Words Typed Correctly,Extra Keystrokes %,Test Version,Location,Keyboard,Layout,Caffeine,Custom_1,Custom_2,Custom_3,WPM_Rank,WPM_Percentile,Last 10 Avg,Last 100 Avg,Last 1000 Avg,Incorrect Character % Last 10 Avg,Incorrect Character % Last 100 Avg,Incorrect Character % Last 1000 Avg,Extra Keystrokes % Last 10 Avg,Extra Keystrokes % Last 100 Avg,Extra Keystrokes % Last 1000 Avg,Local_Start_Year,Local_Start_Month,Local_Start_Date,Local_Start_Hour,Local_Start_Minute,Local_Start_10_Minute_Block,Local_Start_15_Minute_Block,Local_Start_30_Minute_Block,Count,Local_End_Time,Local_End_Year,Local_End_Month,Local_End_Date,Local_End_Hour,Local_End_Minute,Local_End_15_Minute_Block,Local_End_10_Minute_Block,Local_End_30_Minute_Block,cumulative_avg,Session,Test_#_Within_Session,Test #
3154,25,1722045781.4970582,2024-07-26 22:03:01.497063,2024-07-27 02:03:01.497082+00:00,133,17.850092583,7.450941746188254,89.41130095425905,1,0.0,0.0,LEV,14,42,"They shall take other stones, and put them in the place of those stones; and he shall take other mortar, and shall plaster the house.",3154,1,100.0,0.0,v2,,,,,,,,25,99.55098222637979,74.2246761201681,69.40565174274762,68.79767949143665,4.452535044748975,4.416059923720857,4.118438760360709,9.289392427699218,9.39582615627292,8.631184192855061,2024.0,7.0,2024-07-26,22.0,3.0,1.0,1.0,1.0,1,2024-07-26 22:03:19.347155583,2024.0,7.0,2024-07-26,22.0,3.0,1.0,1.0,1.0,63.06,984,31,3154
2829,26,1721848119.6561449,2024-07-24 15:08:39.656149,2024-07-24 19:08:39.656168+00:00,134,18.000418084,7.444271537176592,89.33125844611911,1,0.0,0.0,LEV,4,33,"He shall lay his hand on the head of the sin offering, and kill it for a sin offering in the place where they kill the burnt offering.",2829,1,100.0,0.0,v2,,,,,,,,26,99.53227315247895,74.35713024003579,71.03713277775762,67.76254068319298,4.631987741117441,4.2351900681814785,3.441257570866865,9.978900290674185,8.85776870685654,7.207650922638165,2024.0,7.0,2024-07-24,15.0,8.0,1.0,1.0,1.0,1,2024-07-24 15:08:57.656567084,2024.0,7.0,2024-07-24,15.0,8.0,1.0,1.0,1.0,62.313,981,27,2829
2266,27,1720562828.157014,2024-07-21 07:08:12.000000,2024-07-09 22:07:08.157034+00:00,94,12.64220988,7.435408914218804,89.22490697062565,0,2.127659574468085,2.127659574468085,EXO,26,30,You shall set up the tabernacle according to the way that it was shown to you on the mountain.,2266,1,94.73684210526316,4.255319149,v2,,mac,qwerty,,,,,27,99.51356407857811,79.6402833635598,69.31018381216344,66.06410468587367,2.1112421280553617,3.960949708455733,3.5712768088107327,4.222484256117106,8.199337611122226,7.480605702814951,2024.0,7.0,2024-07-21,7.0,8.0,1.0,1.0,1.0,1,2024-07-21 07:08:24.642209880,2024.0,7.0,2024-07-21,7.0,8.0,1.0,1.0,1.0,60.846,872,1,2266
1601,28,1720182749.276427,,2024-07-05 12:32:29.276442+00:00,128,17.3031155,7.397511737120404,88.77014084544486,1,0.0,0.0,EXO,3,21,"I will give this people favor in the sight of the Egyptians, and it will happen that when you go, you shall not go empty-handed.",1601,1,100.0,0.0,v2,home,mac,qwerty,yes,,,,28,99.49485500467728,64.35384351939764,63.8192190137597,60.052468424575714,2.434497473755228,3.471996547811285,4.0242261369839545,5.034284203708805,7.3947960527851135,8.43953404726477,,,,,,,,,1,,,,,,,,,,58.093,677,71,1601
4634,29,1724105376.270842,2024-08-19 18:09:36.270845,2024-08-19 22:09:36.270861+00:00,125,16.932045875,7.382451058945055,88.58941270734066,0,1.6,1.6,NUM,29,25,"and one male goat for a sin offering; in addition to the continual burnt offering, its meal offering, and its drink offering.",4634,1,95.45454545454544,3.2,v2,,,,,,,,29,99.47614593077643,78.39183466011494,71.24222918127006,64.64484985074327,3.728210798114057,3.48540767157462,4.132613905503082,7.943874149021482,7.317666864135266,8.587817087539397,2024.0,8.0,2024-08-19,18.0,9.0,1.0,1.0,1.0,1,2024-08-19 18:09:53.202890875,2024.0,8.0,2024-08-19,18.0,9.0,1.0,1.0,1.0,63.497,995,80,4634
2936,30,1721855765.782379,2024-07-24 17:16:05.782383,2024-07-24 21:16:05.782405+00:00,103,13.961281791,7.377546097980625,88.5305531757675,1,0.0,0.0,LEV,8,18,He presented the ram of the burnt offering. Aaron and his sons laid their hands on the head of the ram.,2936,1,100.0,0.0,v2,,,,,,,,30,99.45743685687557,80.53236945512744,68.186836624053,68.14192970940306,1.3101521896994899,5.60727528739847,3.584708166445244,2.6203043793989798,11.670304017185282,7.500688646286364,2024.0,7.0,2024-07-24,17.0,16.0,2.0,2.0,1.0,1,2024-07-24 17:16:19.743664791,2024.0,7.0,2024-07-24,17.0,16.0,2.0,2.0,1.0,62.529,982,51,2936
3145,31,1722045576.87852,2024-07-26 21:59:36.878522,2024-07-27 01:59:36.878534+00:00,45,6.108357791,7.366955496009516,88.40346595211419,1,0.0,0.0,LEV,14,33,"The LORD spoke to Moses and to Aaron, saying,",3145,1,100.0,0.0,v2,,,,,,,,31,99.43872778297475,77.19468670285487,69.31879283531688,68.79816305732494,1.8784373255393008,4.396291627431634,4.088425753160378,3.8349996510785993,9.336290509597852,8.567314955072385,2024.0,7.0,2024-07-26,21.0,59.0,6.0,4.0,2.0,1,2024-07-26 21:59:42.986879791,2024.0,7.0,2024-07-26,21.0,59.0,4.0,6.0,2.0,63.032,984,22,3145
2934,32,1721855728.190787,2024-07-24 17:15:28.190791,2024-07-24 21:15:28.190809+00:00,142,19.293317333,7.360061390641099,88.32073668769318,1,0.0,0.0,LEV,8,16,"He took all the fat that was on the innards, and the cover of the liver, and the two kidneys, and their fat; and Moses burned it on the altar.",2934,1,100.0,0.0,v2,,,,,,,,32,99.4200187090739,75.84247200857617,67.75156560182171,68.0831868506089,2.612350562936115,5.729516503440185,3.603104513292618,5.440917342088445,11.914786449268716,7.538973877294545,2024.0,7.0,2024-07-24,17.0,15.0,2.0,2.0,1.0,1,2024-07-24 17:15:47.484108333,2024.0,7.0,2024-07-24,17.0,15.0,2.0,2.0,1.0,62.514,982,49,2934
3170,33,1722046110.7214022,2024-07-26 22:08:30.721405,2024-07-27 02:08:30.721417+00:00,45,6.128547375,7.34268616141684,88.11223393700207,1,0.0,0.0,LEV,15,1,"The LORD spoke to Moses and to Aaron, saying,",3170,1,100.0,0.0,v2,,,,,,,,33,99.40130963517306,73.19714650824677,69.91264919718742,68.7978272152442,2.772146826613497,4.685633654691743,4.170624960450605,6.150155459818529,9.912784575201048,8.748789107947381,2024.0,7.0,2024-07-26,22.0,8.0,1.0,1.0,1.0,1,2024-07-26 22:08:36.849952374,2024.0,7.0,2024-07-26,22.0,8.0,1.0,1.0,1.0,63.096,984,47,3170
3715,34,1723159443.951087,2024-08-08 19:24:03.951093,2024-08-08 23:24:03.951117+00:00,171,23.3082045,7.336472442568453,88.03766931082143,1,0.0,0.0,NUM,3,22,"Those who were counted of them, according to the number of all the males from a month old and upward, even those who were counted of them were seven thousand five hundred.",3715,1,100.0,0.0,v2,,,,,,,,34,99.38260056127221,67.12205772924956,67.5647602025823,66.95911337380431,4.338427716444574,3.4078977590670347,4.882805251304835,9.128037099157945,7.167257080057672,10.228147970300094,2024.0,8.0,2024-08-08,19.0,24.0,3.0,2.0,1.0,1,2024-08-08 19:24:27.259297500,2024.0,8.0,2024-08-08,19.0,24.0,2.0,3.0,1.0,63.293,989,77,3715
